,name,place_id,business_status,location,raiting,price_level,total_reviews,direction
432,Saibò Diagonal,ChIJ2Sou5XCYpBIRuixUBMNPGbE,OPERATIONAL,"{'lat': 41.3934404, 'lng': 2.1383144}",4.6,,8,"C/ de Ganduxer, 25, Barcelona"
433,Leblon restaurant,ChIJE85vRWKZpBIRNhlZVbgwIKo,OPERATIONAL,"{'lat': 41.39609979999999, 'lng': 2.1329336}",4.7,,83,"Carrer d'Angel Guimerà, 14, Barcelona"
434,Isabella's Restaurant,ChIJrya5j3GYpBIRwr4kUM3PkQI,OPERATIONAL,"{'lat': 41.3960258, 'lng': 2.1369592}",4.3,3.0,1642,"C/ de Ganduxer, 50, Barcelona"
435,Restaurant Carmel,ChIJKZ0y426YpBIRWh8EY5tYZQk,OPERATIONAL,"{'lat': 41.3944531, 'lng': 2.1323254}",4.3,,166,"Carrer de Buïgas, 26, Barcelona"
436,A Vocados Fleming,ChIJtcPbZAeZpBIR9j5qGDSZTes,OPERATIONAL,"{'lat': 41.3945793, 'lng': 2.1344112}",4.2,,354,"Carrer del Dr. Fleming, 25, Barcelona"
437,Can Buïgas,ChIJ14xfShyZpBIRvwsWDIM_LDk,OPERATIONAL,"{'lat': 41.3939779, 'lng': 2.1320144}",4.3,1.0,168,"Plaça d'Eguilaz, n9, Barcelona"
438,Restaurant El Nou,ChIJ0WgGr3GYpBIRkhC4ChBhS3k,OPERATIONAL,"{'lat': 41.3944509, 'lng': 2.1372271}",4.1,2.0,103,"C. de Santa Fe de Nou Mèxic, 15, Barcelona"
439,El chalito,ChIJ-5-zag-ZpBIRV3Fj64cfGUQ,OPERATIONAL,"{'lat': 41.3976437, 'lng': 2.1357302}",3.3,,7,"Via Augusta, Barcelona"
440,Taparazzi,ChIJZb_UzHGYpBIR03KP-fCsWIw,OPERATIONAL,"{'lat': 41.3937397, 'lng': 2.136073}",3.7,2.0,258,"C. de Santa Fe de Nou Mèxic, s/n, Barcelona"
441,Fishhh to go,ChIJGdKtn3GYpBIRyztXrmSkmRM,OPERATIONAL,"{'lat': 41.3953276, 'lng': 2.1375305}",4.6,,120,"Carrer de Modolell, 2, Barcelona"
